# AI Version: A1,,,,,,,,,,,,
# Test Type: 1v1,,,,,,,,,,,,
# Time: 20250626_150922,,,,,,,,,,,,
Run Index,Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,21.95606,120.75,61.25,10,6,2,3,0,3,0,0
1,Base AI,9.066721,140,36.75,4,4,1,1,0,1,0,1
2,Base AI,32.51818,126,74.09521,14,5,1,6,2,4,0,1
3,Base AI,41.87521,175,58.66829,17,3,2,4,1,9,0,1
4,Base AI,18.50119,112,24.5,9,2,1,1,0,2,0,4
5,Base AI,22.82251,126,31.5,11,3,1,1,0,4,0,4
6,Base AI,31.951,161,57.75,17,7,1,1,0,7,0,1
7,Base AI,14.78943,98.62891,29.75,5,3,2,1,0,2,0,2
8,Base AI,29.20414,119,106.7792,14,2,1,7,1,3,0,1
9,Base AI,64.18725,203,119,25,8,1,7,6,12,0,1
10,Base AI,42.28442,117.9289,94.20438,14,5,1,8,6,5,0,3
11,Base AI,53.03667,133,152.3963,15,7,1,12,9,3,0,0
12,Base AI,39.51126,119,72.86291,13,5,1,6,5,5,0,4
13,Base AI,34.37495,140,35,16,1,1,3,1,7,0,4
14,Base AI,30.45294,133,38.5,15,4,1,1,0,6,0,4
15,Base AI,28.37796,127.8101,33.25,15,2,1,2,0,5,0,3
16,Base AI,32.03976,145.0239,43.75,15,5,2,1,0,6,0,4
17,Base AI,27.96577,119,70.70146,13,2,1,5,1,4,0,3
18,Base AI,36.48009,182,15.75,19,1,1,1,0,9,0,3
19,Base AI,26.89083,105,95.02357,11,4,1,7,2,2,0,2
20,Base AI,23.33947,126,40.25,11,4,1,1,0,4,0,3
21,Base AI,32.58211,154,57.75,15,7,1,2,1,6,0,1
22,Utility AI,50.31321,133,176.9718,15,5,1,13,8,2,0,0
23,Utility AI,53.36399,126,179.3909,14,9,1,13,9,3,0,0
24,Base AI,38.26204,182,91,16,10,1,2,3,6,0,0
25,Utility AI,62.28195,126,203.9667,14,6,1,18,12,3,0,0
26,Base AI,23.92623,112,59.59439,12,3,1,4,0,2,0,3
27,Base AI,39.76353,154,95.42621,18,3,1,6,2,7,0,2
28,Base AI,43.80336,147,119.5391,17,10,1,5,4,4,0,0
29,Base AI,32.99858,110.963,123.663,9,8,2,7,4,0,0,0
30,Base AI,59.11414,168,123.1458,20,8,1,10,8,9,0,1
31,Base AI,33.44452,168,61.25,17,7,1,1,0,8,0,1
32,Base AI,29.68804,112,52.82726,12,2,1,4,2,3,0,4
33,Base AI,25.07575,112,15.75,13,1,1,1,0,4,0,5
34,Base AI,31.44264,119,80.98611,14,4,1,6,2,4,0,1
35,Base AI,29.60879,119,50.75,13,6,1,1,1,4,0,4
36,Base AI,30.28058,133,35,15,5,1,0,0,5,0,3
37,Base AI,26.48369,126,76.56541,11,8,1,3,2,3,0,0
38,Base AI,30.55708,126,46.25928,14,5,1,1,1,4,0,4
39,Base AI,39.38297,161,59.5,19,6,1,2,1,8,0,2
40,Base AI,36.82066,168,52.40665,20,4,1,2,0,8,0,3
41,Base AI,32.60435,147,64.75,17,8,1,1,0,5,0,1
42,Base AI,20.06956,100.0907,51.99272,11,2,1,3,0,2,0,3
43,Base AI,32.66338,147,71.90367,17,5,1,3,0,8,0,1
44,Base AI,21.53258,129.3837,51.06153,10,4,2,2,0,2,0,2
45,Base AI,6.568368,112,36.59884,3,1,1,3,0,0,0,0
46,Base AI,28.8171,147,45.5,14,4,1,2,0,6,0,2
47,Base AI,43.7108,140,142.8322,16,9,1,8,5,4,0,1
48,Base AI,40.76973,147,99.75,17,8,1,6,3,6,0,0
49,Base AI,32.10929,140,36.75,16,4,1,2,1,5,0,3
