# AI Version: A2
# Test Type: 1v1
# Time: 20250628_110035
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Base AI,43.15622,135.886,113.0111,11,4,3,11,5,2,0,0
1,Base AI,21.99042,104.9141,106.6778,7,0,2,8,1,0,0,0
2,Base AI,51.88598,161,119.9375,19,9,1,8,6,5,0,0
3,Base AI,35.11505,126,112.3532,14,1,1,10,3,4,0,1
4,Base AI,46.3597,159.25,90.48528,19,3,4,6,2,8,0,0
5,Base AI,35.51274,147,83.03895,15,4,2,6,2,4,0,0
6,Base AI,5.152594,84,15.75,2,1,1,1,0,1,0,2
7,Base AI,49.94714,155.75,115.0764,18,5,3,9,4,5,0,0
8,Base AI,18.70194,126,56.79511,7,2,2,4,0,1,0,0
9,Base AI,22.02528,126,79.28316,7,2,2,6,1,2,0,0
10,Base AI,25.23115,140,56,13,8,1,0,0,3,0,0
11,Base AI,39.23868,196,71.18433,17,6,2,3,1,8,0,0
12,Base AI,93.65919,190.75,256.0443,22,11,2,19,18,5,0,0
13,Base AI,64.1767,189,121.6531,19,8,2,8,9,6,0,0
14,Base AI,26.28783,123.3547,49.75123,10,2,2,5,1,2,0,2
15,Base AI,21.62009,112,38.5,8,3,2,2,0,2,0,3
16,Base AI,14.83963,146.5052,40.25,3,2,3,3,0,0,0,0
17,Base AI,22.50345,106.75,79.11284,10,3,2,4,0,1,0,0
18,Base AI,33.79665,121.0696,108.8851,13,2,4,6,1,2,0,0
19,Base AI,25.45139,122.5,45.85366,12,3,2,2,0,3,0,0
20,Utility AI,55.63618,98,189.2462,10,11,1,12,11,2,2,0
21,Base AI,29.43119,122.5,64.75,7,5,4,4,2,2,0,0
22,Base AI,24.4759,120.75,52.02804,12,4,2,2,0,2,0,0
23,Base AI,54.5341,199.4435,124.2823,16,5,3,10,6,7,0,0
24,Base AI,7.194359,112,22.75,3,2,1,1,0,0,0,0
25,Base AI,31.53145,150.0317,70,11,6,3,4,1,2,0,3
26,Base AI,56.84427,128.6155,145.25,12,8,2,13,8,1,4,4
27,Base AI,46.72329,161,87.80736,19,5,1,8,4,4,0,0
28,Base AI,29.54543,154,67.06248,11,4,2,4,1,3,0,0
29,Base AI,46.01683,167.0193,106.5077,19,2,2,8,3,7,0,0
30,Base AI,47.72761,158.5171,108.9758,17,7,3,7,4,7,0,0
31,Base AI,16.41176,161,51.82659,6,3,2,3,0,1,0,0
32,Base AI,29.11742,147,69.36536,14,3,1,4,1,4,0,0
33,Utility AI,68.05704,92.75,217.1442,8,12,2,17,17,2,4,0
34,Base AI,23.30696,112,69.62165,8,0,2,6,1,1,0,0
35,Utility AI,40.20761,105,145.2635,11,6,2,10,5,2,0,0
36,Utility AI,67.62496,91,242.2426,9,14,1,16,19,2,3,0
37,Base AI,9.848972,120.75,51.71227,4,1,2,4,0,0,0,0
38,Base AI,37.39382,140,69.69059,16,2,2,6,2,3,0,2
39,Base AI,56.49288,190.6489,131.9803,20,5,2,9,5,8,0,0
40,Base AI,39.8419,125.9669,119.0151,14,8,1,9,5,2,0,0
41,Base AI,38.24403,161,97.98477,19,5,1,5,1,6,0,1
42,Base AI,20.88971,111.1851,76.97269,12,3,1,5,0,0,0,0
43,Base AI,43.89971,152.1011,95.10305,14,6,3,6,4,4,0,0
44,Base AI,44.76148,161,97.21732,16,6,1,7,3,2,4,0
45,Base AI,27.59248,115.036,116.749,10,3,2,7,2,1,0,2
46,Base AI,23.30761,105,47.25,7,3,2,3,1,2,0,2
47,Base AI,27.47556,106.75,87.5,10,9,2,2,2,1,0,0

