# AI Version: A3
# Test Type: 1v1
# Time: 20250629_220752
Run Index, Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
0,Utility AI,44.34879,112,171.3224,0,10,4,11,8,0,0,0
1,Base AI,34.78525,135.0009,123.1617,0,8,5,7,5,0,0,0
2,Base AI,25.343,112.1008,70.50031,0,1,5,7,3,1,0,2
3,Base AI,67.07748,177.3139,201.1893,0,12,7,14,14,1,0,0
4,Utility AI,74.73629,162.5101,222.25,0,18,8,14,16,0,0,0
5,Utility AI,46.19929,56,173.0962,0,13,2,9,12,0,4,0
6,Base AI,26.6628,84,77,0,6,3,4,5,1,0,2
7,Utility AI,72.66556,73.21705,236.25,0,16,3,14,21,0,3,0
8,Base AI,35.61602,140,112,0,7,5,7,5,0,0,0
9,Utility AI,106.0285,53.35499,345.9771,0,24,3,21,33,0,1,0
10,Utility AI,54.08933,128.519,185.5488,0,10,5,14,10,0,0,0
11,Base AI,26.05415,140,83.91391,0,4,5,7,2,1,0,0
12,Base AI,35.43233,112,119.4025,0,3,4,11,6,0,0,2
13,Base AI,40.67803,141.1457,137.3232,0,13,6,6,6,1,0,0
14,Utility AI,66.02371,148.75,201.8573,0,15,6,12,13,1,0,1
15,Utility AI,92.07874,148.75,294.2214,0,19,6,20,24,0,0,0
16,Base AI,21.34785,112,70.38644,0,5,4,4,2,1,0,1
17,Base AI,41.05633,136.1009,139.394,0,11,6,8,6,0,0,1
18,Utility AI,50.39709,140,181.3488,0,19,5,5,11,0,0,0
19,Base AI,44.94728,133.6635,131.1909,0,8,7,9,6,0,0,1
20,Utility AI,55.96986,126.4931,178.7029,0,9,7,14,9,0,0,1
21,Base AI,43.95314,168,140,0,16,6,3,6,1,0,0
22,Utility AI,95.82541,114.7305,300.6118,0,21,9,18,25,1,0,1
23,Base AI,26.28661,112,75.27381,0,5,4,6,3,0,0,1
24,Utility AI,60.15338,108.8535,211.5611,0,16,4,11,14,0,0,0
25,Base AI,33.15653,84,91.78033,0,3,4,9,6,0,0,2
26,Base AI,65.36575,147.0396,170.5295,0,6,8,15,13,2,0,1
27,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
28,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
29,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
30,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
31,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
32,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
33,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
34,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
35,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
36,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
37,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
38,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
39,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
40,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
41,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
42,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
43,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
44,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
45,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
46,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
47,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
48,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
49,No winner (Timeout),10000.04,0,0,0,0,0,0,0,0,0,0
